subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-001,A,P3,Fp1,5,10,11.065871235673361,7.867809756376503e-10
sub-001,A,P3,Fp1,10,20,6.131812128610039,1.5530640002709208e-08
sub-001,A,P3,Fp1,20,40,7.1551685828588765,2.4841749284715127e-16
sub-001,A,P3,Fp1,30,60,7.2492644210681085,2.0543736177188937e-21
sub-001,A,P3,Fp1,40,80,8.236519338129968,9.530892765954154e-29
sub-001,A,P3,Fp1,50,100,9.205951912965254,1.594816529560144e-35
sub-001,A,Fp1,P3,5,10,11.747678387630877,1.9998997115173138e-10
sub-001,A,Fp1,P3,10,20,9.163292430696783,2.839567283600069e-13
sub-001,A,Fp1,P3,20,40,6.254234743347204,5.5224740815649664e-14
sub-001,A,Fp1,P3,30,60,4.736515261815021,7.110645521873885e-13
sub-001,A,Fp1,P3,40,80,3.637414953497601,1.2384061358606568e-10
sub-001,A,Fp1,P3,50,100,2.8410780378339795,3.4785687925036675e-08
sub-001,A,P4,Fp2,5,10,24.336126012945503,1.0558251262567366e-20
sub-001,A,P4,Fp2,10,20,16.730335616476793,3.734747472297724e-24
sub-001,A,P4,Fp2,20,40,13.685456484112294,1.2162812138720778e-31
sub-001,A,P4,Fp2,30,60,11.574295364577969,2.722096576539767e-34
sub-001,A,P4,Fp2,40,80,11.082444193648952,4.059079058397766e-38
sub-001,A,P4,Fp2,50,100,9.184462922953529,1.9052685398835076e-35
sub-001,A,Fp2,P4,5,10,13.060164289826158,1.4670675303482316e-11
sub-001,A,Fp2,P4,10,20,9.291043300031033,1.8097380753505483e-13
sub-001,A,Fp2,P4,20,40,7.784968522994832,6.1138423524323956e-18
sub-001,A,Fp2,P4,30,60,6.842103764450929,4.419724443025358e-20
sub-001,A,Fp2,P4,40,80,5.917520298420428,4.555971322105094e-20
sub-001,A,Fp2,P4,50,100,4.908744768747768,5.2232847096268614e-18
sub-002,A,P3,Fp1,5,10,38.128277744981176,1.5763296293782133e-30
sub-002,A,P3,Fp1,10,20,21.01640130246095,1.0788531026124504e-29
sub-002,A,P3,Fp1,20,40,14.574274702706651,1.6790303200356128e-33
sub-002,A,P3,Fp1,30,60,11.378299783020712,9.350289796824553e-34
sub-002,A,P3,Fp1,40,80,9.62213269645005,1.7921851724789954e-33
sub-002,A,P3,Fp1,50,100,7.583566899102228,2.0396925332907783e-29
sub-002,A,Fp1,P3,5,10,13.674920542954728,4.3646961965073236e-12
sub-002,A,Fp1,P3,10,20,11.64794049281142,5.245675158124809e-17
sub-002,A,Fp1,P3,20,40,8.699467116399694,3.163025627513071e-20
sub-002,A,Fp1,P3,30,60,11.691529267282018,1.3071787107081659e-34
sub-002,A,Fp1,P3,40,80,16.276488318022036,2.3173911188591213e-52
sub-002,A,Fp1,P3,50,100,13.441030540056424,3.843824753192745e-49
sub-002,A,P4,Fp2,5,10,20.32040339060329,1.432047205690494e-17
sub-002,A,P4,Fp2,10,20,14.06034194178338,1.7591686181852812e-20
sub-002,A,P4,Fp2,20,40,14.228224538790405,8.777919557033794e-33
sub-002,A,P4,Fp2,30,60,13.46812585625323,2.905483936262434e-39
sub-002,A,P4,Fp2,40,80,10.865453643970582,1.8977799368505168e-37
sub-002,A,P4,Fp2,50,100,8.585001011995237,2.9723097737968528e-33
sub-002,A,Fp2,P4,5,10,18.329058944269352,5.745587327744646e-16
sub-002,A,Fp2,P4,10,20,12.784640573147094,1.1587262809508368e-18
sub-002,A,Fp2,P4,20,40,9.973835667887501,2.6032303931515158e-23
sub-002,A,Fp2,P4,30,60,15.092336501601888,2.9852846991073433e-43
sub-002,A,Fp2,P4,40,80,23.986100685185278,6.985164105141664e-69
sub-002,A,Fp2,P4,50,100,20.795031238366494,2.6168417890616147e-67
sub-003,A,P3,Fp1,5,10,38.489796491994824,9.069987935126363e-31
sub-003,A,P3,Fp1,10,20,19.41685844817477,1.1246235113344332e-27
sub-003,A,P3,Fp1,20,40,11.740393223749015,2.1520220356844296e-27
sub-003,A,P3,Fp1,30,60,9.330008481095241,6.8055122985668785e-28
sub-003,A,P3,Fp1,40,80,6.836544544029815,1.25688154904463e-23
sub-003,A,P3,Fp1,50,100,5.480581263797255,1.357424967564332e-20
sub-003,A,Fp1,P3,5,10,8.643439615698368,1.0880112908075968e-07
sub-003,A,Fp1,P3,10,20,4.618346908226561,3.898480799599806e-06
sub-003,A,Fp1,P3,20,40,2.9589811690901793,3.3525988874144335e-05
sub-003,A,Fp1,P3,30,60,3.121713273708444,3.7791567222404885e-07
sub-003,A,Fp1,P3,40,80,3.3129188623938752,2.976918251174068e-09
sub-003,A,Fp1,P3,50,100,2.650164712324133,2.810005709060767e-07
sub-003,A,P4,Fp2,5,10,36.35402628715209,2.4422056370034297e-29
sub-003,A,P4,Fp2,10,20,18.592002409453677,1.300743871973622e-26
sub-003,A,P4,Fp2,20,40,9.556496106047275,2.5861312032300153e-22
sub-003,A,P4,Fp2,30,60,6.448390051359821,8.996164635060959e-19
sub-003,A,P4,Fp2,40,80,4.739097086198375,2.7841117502269907e-15
sub-003,A,P4,Fp2,50,100,3.756487159549539,1.3726063326548886e-12
sub-003,A,Fp2,P4,5,10,10.834728555035115,1.2540992014895215e-09
sub-003,A,Fp2,P4,10,20,5.90832811493032,3.5126113795113844e-08
sub-003,A,Fp2,P4,20,40,3.617645263064969,6.238891575203769e-07
sub-003,A,Fp2,P4,30,60,3.769627361811792,1.927772343565725e-09
sub-003,A,Fp2,P4,40,80,3.9013722999209963,9.334344458650589e-12
sub-003,A,Fp2,P4,50,100,3.161717661935593,1.0043019355271934e-09
sub-004,A,P3,Fp1,5,10,58.48484492821191,6.7095059301259745e-43
sub-004,A,P3,Fp1,10,20,42.65628233203795,1.8653320614986537e-52
sub-004,A,P3,Fp1,20,40,34.901692791032346,3.6601008414087923e-66
sub-004,A,P3,Fp1,30,60,34.965290850651925,9.20642741143694e-79
sub-004,A,P3,Fp1,40,80,28.270190464299272,1.8905399035401026e-76
sub-004,A,P3,Fp1,50,100,24.459553425215148,1.2216659531264856e-74
sub-004,A,Fp1,P3,5,10,20.373258406746004,1.2997481366825497e-17
sub-004,A,Fp1,P3,10,20,12.70129914828053,1.528451841757333e-18
sub-004,A,Fp1,P3,20,40,9.494394271017093,3.6484731501395444e-22
sub-004,A,Fp1,P3,30,60,10.5642063590235,1.7476847773111285e-31
sub-004,A,Fp1,P3,40,80,8.090166841538972,3.145434451474059e-28
sub-004,A,Fp1,P3,50,100,6.30413057522944,3.5402972629710676e-24
sub-004,A,P4,Fp2,5,10,135.76433041068478,2.746505888091368e-76
sub-004,A,P4,Fp2,10,20,74.1148069929775,5.224056229529792e-76
sub-004,A,P4,Fp2,20,40,44.592661000551956,1.9533249085048192e-77
sub-004,A,P4,Fp2,30,60,40.80070591158118,2.7325876104346777e-86
sub-004,A,P4,Fp2,40,80,30.911440730612405,1.0913810851726565e-80
sub-004,A,P4,Fp2,50,100,25.02552522599858,1.0754696235880756e-75
sub-004,A,Fp2,P4,5,10,31.82255666253983,3.327352099333816e-26
sub-004,A,Fp2,P4,10,20,20.049401110424157,1.7626778286498127e-28
sub-004,A,Fp2,P4,20,40,10.587889546588222,9.359608349179665e-25
sub-004,A,Fp2,P4,30,60,8.225402900208854,1.6004157369372996e-24
sub-004,A,Fp2,P4,40,80,6.9146882598915465,6.3671428714320814e-24
sub-004,A,Fp2,P4,50,100,5.46919433967835,1.525572424360346e-20
sub-005,A,P3,Fp1,5,10,122.9912635868381,8.942290895619219e-72
sub-005,A,P3,Fp1,10,20,62.24045925553515,4.735334724291215e-68
sub-005,A,P3,Fp1,20,40,34.43145732803004,1.4555107986335657e-65
sub-005,A,P3,Fp1,30,60,24.946456580183064,2.692496544935621e-63
sub-005,A,P3,Fp1,40,80,19.943348344428752,9.045456973416132e-61
sub-005,A,P3,Fp1,50,100,15.834069808568593,1.1187558078046934e-55
sub-005,A,Fp1,P3,5,10,69.06655536178494,1.5008710533834044e-48
sub-005,A,Fp1,P3,10,20,36.06997491967925,2.7424074059575687e-46
sub-005,A,Fp1,P3,20,40,18.936946428507767,5.694215793646925e-42
sub-005,A,Fp1,P3,30,60,12.491644184124912,9.571816683796085e-37
sub-005,A,Fp1,P3,40,80,11.886631807382713,1.5292657654233802e-40
sub-005,A,Fp1,P3,50,100,11.082975189599049,6.245824944590185e-42
sub-005,A,P4,Fp2,5,10,116.62510548537774,2.0747204650286371e-69
sub-005,A,P4,Fp2,10,20,60.485864302673946,8.608831205397539e-67
sub-005,A,P4,Fp2,20,40,35.0301219885101,2.515936652271871e-66
sub-005,A,P4,Fp2,30,60,26.125362354224393,2.5263901881234604e-65
sub-005,A,P4,Fp2,40,80,21.687742531120204,2.110715959034974e-64
sub-005,A,P4,Fp2,50,100,18.21769274028571,1.50256761589095e-61
sub-005,A,Fp2,P4,5,10,156.73307247563304,4.1849575967418394e-83
sub-005,A,Fp2,P4,10,20,82.8201008585456,2.6819294553979126e-81
sub-005,A,Fp2,P4,20,40,43.54548512409059,2.6271739544586386e-76
sub-005,A,Fp2,P4,30,60,31.098561294579376,3.131966960569754e-73
sub-005,A,Fp2,P4,40,80,32.41111332589732,5.702483348808993e-83
sub-005,A,Fp2,P4,50,100,30.784174121597207,1.7696657952359317e-85
sub-006,A,P3,Fp1,5,10,38.434862137090185,9.863450866320208e-31
sub-006,A,P3,Fp1,10,20,19.519511869022285,8.31343353068255e-28
sub-006,A,P3,Fp1,20,40,11.985407699434997,6.079131193091779e-28
sub-006,A,P3,Fp1,30,60,19.613521386503184,3.1779867015923243e-53
sub-006,A,P3,Fp1,40,80,16.22842880587383,3.0416137575616953e-52
sub-006,A,P3,Fp1,50,100,12.913429725221722,1.3363654976359058e-47
sub-006,A,Fp1,P3,5,10,43.51783860309459,5.033917312601981e-34
sub-006,A,Fp1,P3,10,20,23.08408060174287,3.207327554916744e-32
sub-006,A,Fp1,P3,20,40,12.799688036872368,9.737673125147815e-30
sub-006,A,Fp1,P3,30,60,15.878417148129584,4.245641485589912e-45
sub-006,A,Fp1,P3,40,80,13.022046157605939,8.133530133225834e-44
sub-006,A,Fp1,P3,50,100,10.213040412467173,4.831176076622472e-39
sub-006,A,P4,Fp2,5,10,38.95888237589214,4.439832778675714e-31
sub-006,A,P4,Fp2,10,20,20.59398898941868,3.6341185125039326e-29
sub-006,A,P4,Fp2,20,40,12.831459509244558,8.30422261790999e-30
sub-006,A,P4,Fp2,30,60,12.5377079551439,7.245731792265538e-37
sub-006,A,P4,Fp2,40,80,13.142040701973924,3.7483368301651025e-44
sub-006,A,P4,Fp2,50,100,10.39106284778458,1.2077697820650748e-39
sub-006,A,Fp2,P4,5,10,36.95549110571718,9.595402824544685e-30
sub-006,A,Fp2,P4,10,20,19.965004288282238,2.2544407076820573e-28
sub-006,A,Fp2,P4,20,40,13.534286337157205,2.5486295389882555e-31
sub-006,A,Fp2,P4,30,60,20.5730394794443,3.7109078885536176e-55
sub-006,A,Fp2,P4,40,80,20.842646900811367,1.1411399454653149e-62
sub-006,A,Fp2,P4,50,100,16.73185360160122,5.873646600812261e-58
sub-007,A,P3,Fp1,5,10,19.08792780852037,1.394187664258981e-16
sub-007,A,P3,Fp1,10,20,12.563026696869581,2.422085142783802e-18
sub-007,A,P3,Fp1,20,40,9.959626999796534,2.813540657069674e-23
sub-007,A,P3,Fp1,30,60,10.937032225530489,1.559155408450849e-32
sub-007,A,P3,Fp1,40,80,10.773568459652896,3.664060556892886e-37
sub-007,A,P3,Fp1,50,100,9.636822031016095,4.713118172979892e-37
sub-007,A,Fp1,P3,5,10,156.2032272845311,6.1069880033827754e-83
sub-007,A,Fp1,P3,10,20,78.96595603976807,5.2391725331220166e-79
sub-007,A,Fp1,P3,20,40,39.53447033962463,8.557905055981534e-72
sub-007,A,Fp1,P3,30,60,25.858712017872055,7.169928809138308e-65
sub-007,A,Fp1,P3,40,80,26.607141588542703,1.271711291649086e-73
sub-007,A,Fp1,P3,50,100,29.953167178480772,3.6580889982472264e-84
sub-007,A,P4,Fp2,5,10,41.99831930766503,4.676068677991264e-33
sub-007,A,P4,Fp2,10,20,27.70633625327492,1.4641194677339424e-37
sub-007,A,P4,Fp2,20,40,17.792888317316805,7.539280509473976e-40
sub-007,A,P4,Fp2,30,60,15.114263241198147,2.6470096808929443e-43
sub-007,A,P4,Fp2,40,80,14.863654163092527,8.578333565358472e-49
sub-007,A,P4,Fp2,50,100,17.39770489575903,1.3564952321344558e-59
sub-007,A,Fp2,P4,5,10,110.54321445979967,4.528405838925601e-67
sub-007,A,Fp2,P4,10,20,64.72977223197269,8.466110767387152e-70
sub-007,A,Fp2,P4,20,40,32.308481221667826,8.706801086590781e-63
sub-007,A,Fp2,P4,30,60,21.311014633732654,1.322935632117241e-56
sub-007,A,Fp2,P4,40,80,18.272750639235692,4.4348684954727116e-57
sub-007,A,Fp2,P4,50,100,16.406586116442362,3.845082408297972e-57
sub-008,A,P3,Fp1,5,10,46.02395492345233,1.3623774820508587e-35
sub-008,A,P3,Fp1,10,20,23.826643361089616,4.1713247890518746e-33
sub-008,A,P3,Fp1,20,40,12.081457547795331,3.713134520978702e-28
sub-008,A,P3,Fp1,30,60,8.707806573714903,5.164647349099105e-26
sub-008,A,P3,Fp1,40,80,6.510535237179377,2.2070996298163365e-22
sub-008,A,P3,Fp1,50,100,5.250465987096317,1.4578844057926653e-19
sub-008,A,Fp1,P3,5,10,146.97615275899702,5.12068967668004e-80
sub-008,A,Fp1,P3,10,20,82.26706000831115,5.654745099529099e-81
sub-008,A,Fp1,P3,20,40,42.26797108005256,6.658480854640717e-75
sub-008,A,Fp1,P3,30,60,28.57854520801912,2.3954000184274066e-69
sub-008,A,Fp1,P3,40,80,23.12811569163191,3.011259869350572e-67
sub-008,A,Fp1,P3,50,100,19.330748926993515,4.1782732651968055e-64
sub-008,A,P4,Fp2,5,10,18.145130809227638,8.112240325058413e-16
sub-008,A,P4,Fp2,10,20,10.76171503411391,1.0808521277126538e-15
sub-008,A,P4,Fp2,20,40,6.808067953085012,1.9648260629725055e-15
sub-008,A,P4,Fp2,30,60,6.232255153622306,4.793390286425685e-18
sub-008,A,P4,Fp2,40,80,6.230039780559863,2.694894351159409e-21
sub-008,A,P4,Fp2,50,100,5.117417336683111,5.829224711942465e-19
sub-008,A,Fp2,P4,5,10,186.16634728380683,1.1830178555598918e-91
sub-008,A,Fp2,P4,10,20,97.61870711498267,1.9608199485846865e-89
sub-008,A,Fp2,P4,20,40,48.87933191340217,7.299868691652737e-82
sub-008,A,Fp2,P4,30,60,31.91139289598646,1.9598423856597733e-74
sub-008,A,Fp2,P4,40,80,24.568905137310725,5.7299662592751325e-70
sub-008,A,Fp2,P4,50,100,19.95147424275312,1.7456796106307242e-65
sub-009,A,P3,Fp1,5,10,32.3058991035622,1.5173045046888924e-26
sub-009,A,P3,Fp1,10,20,16.382525712463252,1.0982866659750137e-23
sub-009,A,P3,Fp1,20,40,8.431628788761916,1.4569513850238567e-19
sub-009,A,P3,Fp1,30,60,5.723226464546321,2.5934816220409665e-16
sub-009,A,P3,Fp1,40,80,4.223831650426384,4.020071856115716e-13
sub-009,A,P3,Fp1,50,100,3.2842170827919905,2.578241108764817e-10
sub-009,A,Fp1,P3,5,10,4.737557728844195,0.0003458268221906502
sub-009,A,Fp1,P3,10,20,5.528913986375634,1.4054981670266525e-07
sub-009,A,Fp1,P3,20,40,3.281669018733906,4.836746829834596e-06
sub-009,A,Fp1,P3,30,60,5.674257404179604,3.821123759898761e-16
sub-009,A,Fp1,P3,40,80,7.602509299413263,1.7920910013389578e-26
sub-009,A,Fp1,P3,50,100,6.44634019580299,8.853784520169135e-25
sub-009,A,P4,Fp2,5,10,44.526232932959914,1.1665006133244037e-34
sub-009,A,P4,Fp2,10,20,22.091035836244764,5.110626421066943e-31
sub-009,A,P4,Fp2,20,40,11.192844549790543,3.755980720996612e-26
sub-009,A,P4,Fp2,30,60,8.040010514189854,6.0980680667056696e-24
sub-009,A,P4,Fp2,40,80,6.037564909891459,1.530139336107058e-20
sub-009,A,P4,Fp2,50,100,4.777525408009364,2.098365962893805e-17
sub-009,A,Fp2,P4,5,10,7.584912884687621,9.61878740805551e-07
sub-009,A,Fp2,P4,10,20,5.255790569561723,3.8135206864956584e-07
sub-009,A,Fp2,P4,20,40,2.7742033014468084,9.963394643720745e-05
sub-009,A,Fp2,P4,30,60,3.2654451413336805,1.1813028622214215e-07
sub-009,A,Fp2,P4,40,80,2.606094806934061,2.7489473471150156e-06
sub-009,A,Fp2,P4,50,100,3.9498574837043496,1.6299410955910887e-13
sub-010,A,P3,Fp1,5,10,50.57146081116361,2.383235183258107e-38
sub-010,A,P3,Fp1,10,20,25.455338567045153,5.193984611975866e-35
sub-010,A,P3,Fp1,20,40,12.834677044120289,8.171450596550514e-30
sub-010,A,P3,Fp1,30,60,8.450195656433246,3.203963979357064e-25
sub-010,A,P3,Fp1,40,80,6.79991941368193,1.730276285571895e-23
sub-010,A,P3,Fp1,50,100,5.335114440078828,6.067113883532433e-20
sub-010,A,Fp1,P3,5,10,19.488460555260648,6.632895113965559e-17
sub-010,A,Fp1,P3,10,20,10.655014965088368,1.5606691246533683e-15
sub-010,A,Fp1,P3,20,40,5.574789217744707,3.490940755446159e-12
sub-010,A,Fp1,P3,30,60,3.6537536500066303,4.9792269695408795e-09
sub-010,A,Fp1,P3,40,80,2.8056727098738796,4.103543479814461e-07
sub-010,A,Fp1,P3,50,100,2.191881455013796,3.6657939236102384e-05
sub-010,A,P4,Fp2,5,10,51.068563755655525,1.2087141206444106e-38
sub-010,A,P4,Fp2,10,20,25.57038668758179,3.8272708521045425e-35
sub-010,A,P4,Fp2,20,40,12.905167592546444,5.742700450208883e-30
sub-010,A,P4,Fp2,30,60,8.473168928087407,2.7205693904136377e-25
sub-010,A,P4,Fp2,40,80,6.216540129959861,3.0423834681271808e-21
sub-010,A,P4,Fp2,50,100,5.621791543831227,3.2091863042545517e-21
sub-010,A,Fp2,P4,5,10,30.51322295682491,2.84600761436791e-25
sub-010,A,Fp2,P4,10,20,16.261465258076946,1.6012601838084402e-23
sub-010,A,Fp2,P4,20,40,8.69040775691721,3.3300782096774764e-20
sub-010,A,Fp2,P4,30,60,5.874793852895773,7.846028063732842e-17
sub-010,A,Fp2,P4,40,80,4.378203236574903,8.991481345570034e-14
sub-010,A,Fp2,P4,50,100,3.5038928028131506,2.2500537234333107e-11
