subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-001,A,P3,Fp1,5,10,41.23703109536803,1.445262085964208e-32
sub-001,A,P3,Fp1,10,20,23.141715835147235,2.735175837107446e-32
sub-001,A,P3,Fp1,20,40,14.01580434909956,2.4434017433683148e-32
sub-001,A,P3,Fp1,30,60,11.405659730424658,7.866139889058611e-34
sub-001,A,P3,Fp1,40,80,10.532518223452675,2.086779521686064e-36
sub-001,A,P3,Fp1,50,100,11.684891168716563,7.462956003066736e-44
sub-001,A,Fp1,P3,5,10,13.794710996889041,3.449322641007478e-12
sub-001,A,Fp1,P3,10,20,11.006443158008818,4.665738802094662e-16
sub-001,A,Fp1,P3,20,40,6.437258989271627,1.8251583744940074e-14
sub-001,A,Fp1,P3,30,60,4.570560101006539,2.7436992129342073e-12
sub-001,A,Fp1,P3,40,80,3.4528148665313667,7.564434189993646e-10
sub-001,A,Fp1,P3,50,100,2.8943416657987555,1.9350847825229737e-08
sub-001,A,P4,Fp2,5,10,31.223057061331257,8.85877634273538e-26
sub-001,A,P4,Fp2,10,20,20.575452629948018,3.833835606587354e-29
sub-001,A,P4,Fp2,20,40,15.1700859214016,1.012215038196202e-34
sub-001,A,P4,Fp2,30,60,13.055700997408684,3.2744060280005567e-38
sub-001,A,P4,Fp2,40,80,12.950354348477065,1.2946089669907203e-43
sub-001,A,P4,Fp2,50,100,12.074640848697609,4.5624326409317635e-45
sub-001,A,Fp2,P4,5,10,15.670104981025991,8.983470186354685e-14
sub-001,A,Fp2,P4,10,20,10.539048928275502,2.3282803405778556e-15
sub-001,A,Fp2,P4,20,40,8.065348784034603,1.1994741950426895e-18
sub-001,A,Fp2,P4,30,60,6.869634044245469,3.5860589216884086e-20
sub-001,A,Fp2,P4,40,80,5.52041735332902,1.7568934751128867e-18
sub-001,A,Fp2,P4,50,100,4.300903965527071,3.5191535573250525e-15
sub-002,A,P3,Fp1,5,10,65.69284742335665,8.471114335487182e-47
sub-002,A,P3,Fp1,10,20,33.578937200191795,8.390800839910913e-44
sub-002,A,P3,Fp1,20,40,20.143564130372056,3.865314736903112e-44
sub-002,A,P3,Fp1,30,60,14.36242106113534,1.7285332897808307e-41
sub-002,A,P3,Fp1,40,80,11.003712051085351,7.090372396471622e-38
sub-002,A,P3,Fp1,50,100,8.635916992661674,1.922635338640614e-33
sub-002,A,Fp1,P3,5,10,12.15264846624769,8.900954340194343e-11
sub-002,A,Fp1,P3,10,20,7.954988081971596,2.0970452353858963e-11
sub-002,A,Fp1,P3,20,40,5.305428011364371,1.831250140645098e-11
sub-002,A,Fp1,P3,30,60,7.192125237163429,3.1508567647525483e-21
sub-002,A,Fp1,P3,40,80,11.828797817886624,2.2688618089102124e-40
sub-002,A,Fp1,P3,50,100,9.831744236487216,9.847851360983446e-38
sub-002,A,P4,Fp2,5,10,37.282343819019864,5.7884784076304826e-30
sub-002,A,P4,Fp2,10,20,22.217022849170252,3.587562349445298e-31
sub-002,A,P4,Fp2,20,40,18.877707894032362,7.306223330795977e-42
sub-002,A,P4,Fp2,30,60,16.972786955912685,1.3811034535087718e-47
sub-002,A,P4,Fp2,40,80,13.959705936734814,2.1255007407052996e-46
sub-002,A,P4,Fp2,50,100,11.323243390819327,1.0493510149743528e-42
sub-002,A,Fp2,P4,5,10,25.975086454300243,6.062709739925378e-22
sub-002,A,Fp2,P4,10,20,13.3115146256322,2.0313569797456603e-19
sub-002,A,Fp2,P4,20,40,7.357010596475326,7.526486866215013e-17
sub-002,A,Fp2,P4,30,60,9.426146008076513,3.520626470077434e-28
sub-002,A,Fp2,P4,40,80,12.048096944094203,5.111635089490819e-41
sub-002,A,Fp2,P4,50,100,10.326758584759446,1.9897250054378924e-39
sub-003,A,P3,Fp1,5,10,36.63973861258282,1.5658927112028584e-29
sub-003,A,P3,Fp1,10,20,18.75085391622813,8.09518651616218e-27
sub-003,A,P3,Fp1,20,40,12.10221343739384,3.3385429365733558e-28
sub-003,A,P3,Fp1,30,60,10.23708254348646,1.501528921370216e-30
sub-003,A,P3,Fp1,40,80,7.512689315590089,3.814691911356292e-26
sub-003,A,P3,Fp1,50,100,5.894606652614328,2.0426960954135584e-22
sub-003,A,Fp1,P3,5,10,4.556005185005692,0.0005020767654239449
sub-003,A,Fp1,P3,10,20,3.504456835470586,0.00021412865070378874
sub-003,A,Fp1,P3,20,40,2.0282051202250484,0.006360144420836552
sub-003,A,Fp1,P3,30,60,2.265041755307867,0.00030211620171950623
sub-003,A,Fp1,P3,40,80,2.6177362081555207,2.4624031013620054e-06
sub-003,A,Fp1,P3,50,100,2.0852064295917283,0.00010871558552168725
sub-003,A,P4,Fp2,5,10,22.773509175898585,1.6854660561080999e-19
sub-003,A,P4,Fp2,10,20,11.733126236755067,3.931503280387937e-17
sub-003,A,P4,Fp2,20,40,6.31862013957642,3.7390487458387956e-14
sub-003,A,P4,Fp2,30,60,4.566286241604611,2.840942381625297e-12
sub-003,A,P4,Fp2,40,80,3.428174840383178,9.630192656142622e-10
sub-003,A,P4,Fp2,50,100,2.68896635991236,1.8413888910097543e-07
sub-003,A,Fp2,P4,5,10,6.7116453182831535,5.849715258696685e-06
sub-003,A,Fp2,P4,10,20,4.60864332678137,4.038498062165959e-06
sub-003,A,Fp2,P4,20,40,2.765630201305109,0.0001047541922286098
sub-003,A,Fp2,P4,30,60,2.5984184119500147,2.401293872744118e-05
sub-003,A,Fp2,P4,40,80,2.901391669003996,1.6328107859280653e-07
sub-003,A,Fp2,P4,50,100,2.3053487795502647,1.126827433805687e-05
sub-004,A,P3,Fp1,5,10,26.093948317133584,4.937337139009428e-22
sub-004,A,P3,Fp1,10,20,21.819386879929528,1.0989024937217945e-30
sub-004,A,P3,Fp1,20,40,21.741989616964783,6.579567067300203e-47
sub-004,A,P3,Fp1,30,60,19.827725389559568,1.1631840253239902e-53
sub-004,A,P3,Fp1,40,80,15.292248241310004,6.75005400861877e-50
sub-004,A,P3,Fp1,50,100,12.527193381426494,1.902800707749567e-46
sub-004,A,Fp1,P3,5,10,10.036748929208668,6.315385268169569e-09
sub-004,A,Fp1,P3,10,20,6.77661543349759,1.4823677342071954e-09
sub-004,A,Fp1,P3,20,40,5.523465353862374,4.784860407717025e-12
sub-004,A,Fp1,P3,30,60,5.323779484709243,6.227686160858764e-15
sub-004,A,Fp1,P3,40,80,3.9109707840988577,8.497960721938064e-12
sub-004,A,Fp1,P3,50,100,3.170532692603525,9.107302967389178e-10
sub-004,A,P4,Fp2,5,10,148.24517782571533,1.9941241216256895e-80
sub-004,A,P4,Fp2,10,20,73.72672046863109,9.199590404604699e-76
sub-004,A,P4,Fp2,20,40,38.20458252357068,3.162253493990437e-70
sub-004,A,P4,Fp2,30,60,26.244416036453647,1.589550638040655e-65
sub-004,A,P4,Fp2,40,80,19.262772095931602,2.7128892634872332e-59
sub-004,A,P4,Fp2,50,100,15.451356759941344,1.1157525636716175e-54
sub-004,A,Fp2,P4,5,10,22.978622864404098,1.1685939777114365e-19
sub-004,A,Fp2,P4,10,20,13.404661628184693,1.4956864917891467e-19
sub-004,A,Fp2,P4,20,40,6.913383061703509,1.0470887219462735e-15
sub-004,A,Fp2,P4,30,60,4.931872453418594,1.4593105138129183e-13
sub-004,A,Fp2,P4,40,80,3.7772040027130367,3.147200843409334e-11
sub-004,A,Fp2,P4,50,100,3.1003131800310006,1.9842532428641575e-09
sub-005,A,P3,Fp1,5,10,105.1048752964177,6.567550892707923e-65
sub-005,A,P3,Fp1,10,20,54.889662156807724,1.3084620240576942e-62
sub-005,A,P3,Fp1,20,40,30.038021163674014,1.1095964467568126e-59
sub-005,A,P3,Fp1,30,60,23.107662453657035,5.336066908908024e-60
sub-005,A,P3,Fp1,40,80,20.205492954312202,2.493416844187192e-61
sub-005,A,P3,Fp1,50,100,16.62072068468293,1.1129040464709266e-57
sub-005,A,Fp1,P3,5,10,123.29576611870355,6.923546217057078e-72
sub-005,A,Fp1,P3,10,20,63.16052445975579,1.0571127935982635e-68
sub-005,A,Fp1,P3,20,40,32.049125630229994,1.937612310406747e-62
sub-005,A,Fp1,P3,30,60,20.86804877759637,9.699314510433228e-56
sub-005,A,Fp1,P3,40,80,19.22827423665369,3.230328399491189e-59
sub-005,A,Fp1,P3,50,100,18.158315706511203,2.0716130778967526e-61
sub-005,A,P4,Fp2,5,10,139.6906975342976,1.2865922874225654e-77
sub-005,A,P4,Fp2,10,20,73.67818585563565,9.875674540977618e-76
sub-005,A,P4,Fp2,20,40,42.172321161275214,8.505669621142847e-75
sub-005,A,P4,Fp2,30,60,33.12985891807427,3.386383110198676e-76
sub-005,A,P4,Fp2,40,80,29.41877740027253,2.495470881544396e-78
sub-005,A,P4,Fp2,50,100,25.652594750547294,7.654902685013475e-77
sub-005,A,Fp2,P4,5,10,96.35142217087083,2.7960553640017302e-61
sub-005,A,Fp2,P4,10,20,51.59930731834481,5.033223582501223e-60
sub-005,A,Fp2,P4,20,40,28.201044645709985,4.667732584076374e-57
sub-005,A,Fp2,P4,30,60,20.127054886518714,2.88790925110348e-54
sub-005,A,Fp2,P4,40,80,17.395140318432972,4.755781393979952e-55
sub-005,A,Fp2,P4,50,100,14.229032499577018,2.2565757816926235e-51
sub-006,A,P3,Fp1,5,10,86.03324688586369,9.707436994718866e-57
sub-006,A,P3,Fp1,10,20,45.24888066218789,9.73538020017184e-55
sub-006,A,P3,Fp1,20,40,27.850868386969612,1.5182194137683207e-56
sub-006,A,P3,Fp1,30,60,36.61227880894801,5.587127106467403e-81
sub-006,A,P3,Fp1,40,80,27.900127255155212,7.845652563939388e-76
sub-006,A,P3,Fp1,50,100,23.144097413052695,4.1233118940659177e-72
sub-006,A,Fp1,P3,5,10,97.16045756159549,1.2674636439181892e-61
sub-006,A,Fp1,P3,10,20,49.31777127371729,3.581628179826031e-58
sub-006,A,Fp1,P3,20,40,26.521291083164392,1.455797653260338e-54
sub-006,A,Fp1,P3,30,60,26.45330141883987,7.075255454197121e-66
sub-006,A,Fp1,P3,40,80,20.806302016868173,1.3582151820527488e-62
sub-006,A,Fp1,P3,50,100,17.712087954558204,2.3716627743741268e-60
sub-006,A,P4,Fp2,5,10,86.76793421572128,4.504640371248395e-57
sub-006,A,P4,Fp2,10,20,46.54751009619167,7.469282226481655e-56
sub-006,A,P4,Fp2,20,40,26.78922890944588,5.740338774060378e-55
sub-006,A,P4,Fp2,30,60,22.388696112408876,1.1588840578226459e-58
sub-006,A,P4,Fp2,40,80,17.68913340326356,9.76480900550073e-56
sub-006,A,P4,Fp2,50,100,13.693123336267437,7.277099368783354e-50
sub-006,A,Fp2,P4,5,10,39.95037533755115,9.910978826576388e-32
sub-006,A,Fp2,P4,10,20,21.067435627936682,9.321851694493106e-30
sub-006,A,Fp2,P4,20,40,15.07106706755285,1.6088679142046765e-34
sub-006,A,Fp2,P4,30,60,16.932178545387053,1.7016261854129807e-47
